,Dataset,Column,Algorithm,Comparisons,deletions_val_distStatic,runs_val_distStatic,deletions_comp_distStatic,runs_comp_distStatic,arr_len,introsort,insertion_sort,merge_sort,timsort,quick_sort,selection_sort
0,cp_ratings,Unnamed: 0,insertion_sort,1251,0,0,39,39,1252,1000000000,1251,12976,8701,1000000000,1000000000
1,cp_ratings,max_rating,merge_sort,12976,31,18,129,39,1252,1000000000,392015,12976,14864,1000000000,1000000000
2,cp_ratings,contest1,merge_sort,12976,31,17,133,39,1252,1000000000,388750,12976,14754,1000000000,1000000000
3,cp_ratings,contest2,merge_sort,12976,33,19,132,39,1252,1000000000,395813,12976,14855,1000000000,1000000000
4,cp_ratings,contest3,merge_sort,12976,31,20,128,39,1252,1000000000,400835,12976,14895,1000000000,1000000000
5,cp_ratings,contest4,merge_sort,12976,30,21,128,39,1252,1000000000,393868,12976,14931,1000000000,1000000000
6,cp_ratings,contest5,merge_sort,12976,30,18,132,39,1252,1000000000,390014,12976,14947,1000000000,1000000000
7,cp_ratings,contest6,merge_sort,12976,32,21,126,39,1252,1000000000,387995,12976,14944,1000000000,1000000000
8,cp_ratings,contest7,merge_sort,12976,31,20,133,39,1252,1000000000,387662,12976,15010,1000000000,1000000000
9,cp_ratings,contest8,merge_sort,12976,31,19,127,39,1252,1000000000,387985,12976,15016,1000000000,1000000000
10,cp_ratings,contest9,merge_sort,12976,32,20,128,39,1252,1000000000,382932,12976,15077,1000000000,1000000000
11,cp_ratings,contest10,merge_sort,12976,31,18,126,39,1252,1000000000,382171,12976,15022,1000000000,1000000000
12,INFY.NS,Open,merge_sort,40715,18,14,103,39,3447,1000000000,705246,40715,46918,1000000000,1000000000
13,INFY.NS,High,merge_sort,40715,18,15,105,39,3447,1000000000,704642,40715,47145,1000000000,1000000000
14,INFY.NS,Low,merge_sort,40715,17,12,99,39,3447,1000000000,703316,40715,46568,1000000000,1000000000
15,INFY.NS,Close,merge_sort,40715,16,12,95,39,3447,1000000000,704221,40715,47074,1000000000,1000000000
16,INFY.NS,Adj Close,merge_sort,40715,16,11,95,39,3447,1000000000,619089,40715,46664,1000000000,1000000000
17,INFY.NS,Volume,merge_sort,40715,31,17,130,39,3447,1000000000,3299073,40715,49837,1000000000,1000000000
18,nittambuwa_rf_2017-2018,year,insertion_sort,729,0,0,39,39,730,1000000000,729,7006,4348,1000000000,1000000000
19,nittambuwa_rf_2017-2018,month,timsort,4408,10,1,82,39,730,1000000000,61786,7006,4408,1000000000,1000000000
20,nittambuwa_rf_2017-2018,day,timsort,6508,32,13,126,39,730,1000000000,123734,7006,6508,1000000000,1000000000
21,nittambuwa_rf_2017-2018,obs_val_mm,merge_sort,7006,30,12,133,39,730,1000000000,93406,7006,7376,1000000000,1000000000
22,census_tracts_2010,GEOID,insertion_sort,9999,0,0,39,39,10000,1000000000,9999,133616,99500,1000000000,1000000000
23,census_tracts_2010,POP10,merge_sort,133616,27,17,112,39,10000,1000000000,22587911,133616,146809,1000000000,1000000000
24,census_tracts_2010,HU10,merge_sort,133616,30,18,129,39,10000,1000000000,25690708,133616,146673,1000000000,1000000000
25,census_tracts_2010,ALAND,merge_sort,133616,32,19,131,39,10000,1000000000,30888297,133616,146942,1000000000,1000000000
26,census_tracts_2010,AWATER,timsort,127088,32,13,129,39,10000,1000000000,21342014,133616,127088,1000000000,1000000000
27,census_tracts_2010,ALAND_SQMI,merge_sort,133616,32,19,131,39,10000,1000000000,30879344,133616,146847,1000000000,1000000000
28,census_tracts_2010,AWATER_SQMI,timsort,126190,32,12,129,39,10000,1000000000,20836655,133616,126190,1000000000,1000000000
29,census_tracts_2010,INTPTLAT,merge_sort,133616,31,23,122,39,10000,1000000000,23530723,133616,155308,1000000000,1000000000
30,census_tracts_2010,INTPTLONG                                                                                                                  ,merge_sort,133616,34,21,126,39,10000,1000000000,31354628,133616,146044,1000000000,1000000000
31,player_dataset,GP,merge_sort,5224,32,19,129,39,568,1000000000,79939,5224,5691,1000000000,1000000000
32,player_dataset,G,merge_sort,5224,30,15,125,39,568,1000000000,79012,5224,5563,1000000000,1000000000
33,player_dataset,A,merge_sort,5224,31,17,121,39,568,1000000000,81958,5224,5664,1000000000,1000000000
